"Nocom";"Refprod";"PrixUnit";"Qte";"Remise%"
11077;39;90;2;0.05
11077;41;48;3;0.00
11077;46;60;3;0.02
11077;52;35;2;0.00
11077;55;120;2;0.00
11077;60;170;2;0.06
11077;64;166;2;0.03
11077;66;85;1;0.00
11077;73;75;2;0.01
11077;75;39;4;0.00
11077;77;65;2;0.00
